Interests,Shower,WashingMachine,DishWasher,EcoMode,WaterRecycling,GeneralRecycling,Meat,Gasoline,Age_Old,Age_Young,Estimation_No,Estimation_Yes,Pet_No,Pet_Yes,Garden_No,Garden_Yes
2,1,0,2,2,1,1,1,1,0,1,0,1,1,0,1,0
0,2,0,2,1,0,1,1,1,1,0,1,0,1,0,1,0
0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0
0,1,0,2,1,0,0,1,1,1,0,1,0,1,0,1,0
0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0
0,2,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0
1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0
0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
2,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0
2,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0
1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0
0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
0,2,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0
2,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0
2,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0
0,0,0,2,2,0,1,1,1,1,0,0,1,0,1,1,0
0,2,2,2,2,1,1,1,1,0,1,0,1,1,0,1,0
0,0,0,2,0,1,0,1,1,1,0,0,1,0,1,0,1
0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0
0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0
1,1,0,2,1,0,0,1,0,1,0,0,1,1,0,1,0
2,2,0,2,2,1,2,1,0,0,1,0,1,1,0,0,1
0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1
0,1,2,0,1,1,0,1,1,0,1,1,0,0,1,0,1
2,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1
0,1,2,0,1,0,0,1,1,0,1,0,1,0,1,0,1
0,1,1,2,2,1,2,0,0,0,1,1,0,1,0,1,0
0,1,0,1,2,1,0,1,1,1,0,0,1,1,0,0,1
1,1,1,2,0,0,1,1,1,1,0,0,1,1,0,1,0
0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0
0,1,0,2,1,1,1,1,0,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0
0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1
2,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0
0,1,0,1,2,1,1,1,1,0,1,1,0,0,1,1,0
0,1,1,2,0,0,0,1,0,1,0,0,1,0,1,0,1
0,1,1,2,1,0,1,1,1,0,1,0,1,1,0,1,0
0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,0,1
2,1,0,2,1,1,1,1,1,0,1,1,0,1,0,1,0
0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0
0,0,0,2,1,0,0,1,1,1,0,0,1,1,0,1,0
0,0,0,1,0,1,2,1,1,1,0,1,0,0,1,0,1
0,1,2,1,0,1,1,1,1,1,0,0,1,1,0,1,0
0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0
2,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0
0,1,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0
0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0
0,0,2,1,1,0,0,0,1,0,1,0,1,1,0,1,0
0,0,0,2,0,0,0,1,0,1,0,0,1,1,0,1,0
2,2,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0
0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0
0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0
0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1
0,1,2,1,0,0,0,1,0,1,0,0,1,1,0,1,0
2,2,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0
0,1,2,0,0,0,1,1,1,1,0,0,1,1,0,0,1
0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0
0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1
0,1,2,1,0,0,0,1,1,1,0,0,1,1,0,1,0
0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0
0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0
1,0,1,1,2,1,0,1,1,1,0,0,1,1,0,1,0
0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1
0,1,2,1,1,1,0,0,1,1,0,1,0,0,1,0,1
1,2,0,2,1,1,0,1,1,1,0,0,1,1,0,1,0
2,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0
0,1,1,2,1,0,1,1,1,0,1,0,1,0,1,0,1
0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
0,1,0,2,2,1,1,1,0,1,0,0,1,1,0,1,0
0,2,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1
2,2,2,0,0,1,1,0,1,0,1,1,0,0,1,0,1
0,1,0,2,0,0,0,1,1,0,1,0,1,1,0,1,0
0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0
0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0
0,2,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
0,1,0,2,1,0,0,1,1,1,0,0,1,1,0,1,0
0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0
1,1,1,1,2,0,1,1,1,0,1,1,0,0,1,1,0
2,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0
0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0
0,1,1,2,1,0,0,0,1,1,0,1,0,0,1,1,0
0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0
0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0
0,1,2,2,2,1,1,1,1,0,1,0,1,1,0,0,1
2,0,2,1,0,1,0,1,1,1,0,0,1,1,0,1,0
0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0
0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0
0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0
0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0
0,1,0,2,0,1,0,1,1,0,1,0,1,1,0,1,0
2,1,0,2,0,1,1,1,1,1,0,0,1,1,0,0,1
1,1,0,2,2,0,0,1,1,1,0,1,0,0,1,1,0
1,0,2,1,1,1,2,1,1,1,0,0,1,1,0,1,0
0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0
0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,2,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0
0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0
0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1
0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
2,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0
0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0
0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0
1,2,0,2,2,0,0,0,1,0,1,0,1,0,1,1,0
0,0,2,0,0,0,0,1,1,1,0,0,1,1,0,0,1
2,1,2,0,1,0,1,1,1,1,0,1,0,1,0,1,0
0,0,1,2,2,0,1,0,0,1,0,1,0,1,0,1,0
0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
0,0,0,2,2,1,1,0,1,1,0,1,0,0,1,0,1
0,1,1,2,2,0,1,1,0,0,1,0,1,0,1,1,0
2,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1
0,1,2,0,1,0,0,1,1,1,0,0,1,1,0,1,0
2,1,0,1,2,1,0,1,1,0,1,1,0,1,0,1,0
0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0
0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0
0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0
2,1,2,0,1,1,1,0,1,1,0,1,0,0,1,0,1
1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1
2,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0
0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0
0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0
0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1
2,1,1,2,1,1,1,1,0,0,1,0,1,0,1,1,0
0,2,0,2,2,0,0,1,1,1,0,1,0,1,0,1,0
0,1,1,0,2,0,1,1,1,0,1,1,0,0,1,1,0
2,0,1,2,0,0,0,1,1,1,0,0,1,1,0,0,1
2,1,1,2,2,0,0,1,1,0,1,0,1,1,0,0,1
0,0,1,2,2,0,0,1,1,1,0,1,0,1,0,1,0
1,0,1,2,0,0,0,1,1,1,0,0,1,0,1,1,0
0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0
2,2,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
0,2,0,2,1,1,1,1,1,0,1,0,1,0,1,1,0
0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0
0,1,2,1,1,1,1,0,1,1,0,0,1,1,0,0,1
2,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0
0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0
1,1,0,1,2,1,1,1,1,0,1,0,1,1,0,1,0
0,0,1,2,1,0,0,1,1,1,0,0,1,0,1,0,1
0,1,0,2,0,0,1,0,0,1,0,0,1,1,0,1,0
0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
0,2,1,1,2,1,0,1,1,0,1,0,1,0,1,1,0
0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0
0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1
0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0
0,1,2,1,0,1,0,0,1,1,0,0,1,0,1,0,1
1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0
1,0,2,1,1,0,0,1,1,1,0,1,0,1,0,1,0
0,2,0,2,2,0,0,1,0,1,0,0,1,1,0,1,0
2,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0
0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0
0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0
2,2,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0
2,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0
0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0
2,1,1,2,1,1,1,1,1,0,1,0,1,0,1,0,1
2,1,0,2,1,1,2,1,1,0,1,0,1,1,0,0,1
0,0,0,2,0,1,0,1,1,1,0,0,1,1,0,1,0
0,2,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0
2,2,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1
0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0
0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0
2,1,1,1,2,0,1,1,1,0,1,1,0,1,0,1,0
2,1,0,2,1,0,0,1,1,0,1,0,1,0,1,1,0
1,1,2,0,1,1,0,1,1,1,0,0,1,1,0,1,0
0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0
0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0
0,1,0,2,0,0,0,0,1,1,0,0,1,0,1,1,0
0,2,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0
1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1
2,2,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0
0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0
0,1,2,1,0,0,0,1,1,1,0,0,1,0,1,1,0
2,2,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0
0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0
0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0
0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0
2,2,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0
0,1,2,0,0,0,0,1,1,1,0,0,1,1,0,1,0
0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0
2,2,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0
0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0
0,2,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1
0,1,0,2,2,0,0,1,1,1,0,0,1,0,1,0,1
0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0
0,2,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0
0,0,1,1,2,1,0,1,1,1,0,0,1,1,0,0,1
0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1
2,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0
1,0,2,0,0,1,0,1,1,1,0,0,1,1,0,1,0
0,2,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0
0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0
0,1,0,2,0,1,0,1,1,1,0,0,1,1,0,1,0
2,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0
0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0
0,2,2,2,0,0,0,1,1,0,1,1,0,0,1,0,1
0,2,0,2,1,0,0,0,1,1,0,1,0,0,1,0,1
0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0
0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1
2,2,2,0,1,0,0,1,1,1,0,0,1,1,0,1,0
0,1,2,1,0,1,1,1,1,1,0,1,0,0,1,1,0
0,0,2,1,0,1,0,1,1,1,0,0,1,0,1,1,0
2,1,2,0,2,0,0,1,1,0,1,1,0,1,0,0,1
2,1,0,2,2,1,2,1,0,0,1,0,1,0,1,1,0
2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0
0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0
2,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1
0,2,1,1,2,1,1,1,0,0,1,1,0,1,0,1,0
0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
0,1,0,2,1,1,1,1,0,0,1,1,0,1,0,1,0
0,1,0,2,0,1,1,1,1,0,1,0,1,0,1,0,1
2,2,0,0,2,1,2,1,0,0,1,0,1,1,0,1,0
0,2,2,1,1,0,0,1,1,0,1,1,0,0,1,1,0
2,1,0,2,0,1,2,0,0,0,1,0,1,0,1,1,0
0,0,0,2,2,1,1,1,1,1,0,0,1,0,1,1,0
1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0
0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
2,0,0,0,1,1,2,1,1,0,1,0,1,0,1,1,0
0,0,1,2,2,0,1,1,0,0,1,0,1,0,1,1,0
1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1
0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0
1,0,0,2,0,0,0,1,1,1,0,0,1,1,0,1,0
0,2,0,2,2,1,1,1,0,0,1,1,0,0,1,1,0
2,1,1,2,2,0,0,1,0,0,1,0,1,0,1,1,0
0,2,0,2,0,0,0,1,1,0,1,0,1,0,1,1,0
2,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
0,1,0,2,2,1,1,0,0,0,1,0,1,0,1,1,0
1,1,0,2,1,1,0,1,0,0,1,1,0,1,0,1,0
0,2,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0
2,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1
2,2,1,1,2,1,0,1,0,0,1,1,0,0,1,1,0
1,2,1,2,0,0,0,1,1,0,1,0,1,1,0,1,0
0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0
1,1,0,2,1,1,0,1,0,0,1,0,1,0,1,1,0
0,2,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0
0,1,0,1,0,1,2,1,0,0,1,1,0,0,1,1,0
1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1
2,0,0,2,1,1,0,1,1,0,1,0,1,1,0,1,0
0,2,1,2,1,0,0,1,0,0,1,1,0,1,0,1,0
0,2,0,1,2,0,0,1,0,0,1,1,0,0,1,1,0
1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0
0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
2,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0
2,2,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0
1,1,0,2,1,0,1,1,1,1,0,1,0,1,0,1,0
2,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0
2,2,1,2,1,1,2,1,0,0,1,1,0,1,0,1,0
1,1,0,2,1,1,2,1,0,0,1,0,1,1,0,1,0
2,2,0,2,2,1,2,1,1,0,1,0,1,0,1,0,1
2,0,1,2,0,1,1,1,1,0,1,0,1,0,1,0,1
2,2,0,2,0,0,1,1,0,0,1,1,0,1,0,1,0
2,2,1,2,0,0,2,1,0,0,1,1,0,1,0,1,0
0,1,0,1,2,1,0,1,1,0,1,1,0,1,0,1,0
2,1,0,2,1,1,2,1,1,0,1,1,0,0,1,0,1
0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0
2,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0
0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0
0,1,1,2,2,1,0,1,1,0,1,0,1,0,1,1,0
2,1,2,1,0,0,0,1,1,0,1,0,1,0,1,0,1
1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1
0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0
0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0
2,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1
2,1,0,1,2,1,1,1,1,0,1,1,0,1,0,0,1
1,0,0,2,2,0,0,1,1,1,0,0,1,1,0,1,0
0,1,2,0,0,0,1,1,1,1,0,0,1,0,1,1,0
0,1,0,2,0,0,0,1,0,0,1,0,1,0,1,1,0
0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0
0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0
0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0
0,2,1,1,1,1,2,1,0,0,1,1,0,0,1,1,0
1,1,1,2,2,1,1,1,1,1,0,1,0,1,0,1,0
0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1
0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0
0,1,0,2,1,1,0,0,1,1,0,0,1,1,0,1,0
0,0,1,0,2,1,1,1,1,0,1,0,1,1,0,0,1
0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0
0,1,2,1,0,1,0,1,1,0,1,1,0,1,0,1,0
2,0,1,1,2,0,0,1,1,0,1,1,0,1,0,1,0
0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0
0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0
2,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1
1,2,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0
0,1,0,2,1,0,1,1,1,0,1,0,1,0,1,1,0
0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0
0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1
0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,2,0,1,2,1,1,1,1,0,1,1,0,1,0,1,0
0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0
